ඛෛං,ර්‍ජං
ඛෳඃ,ඒ
ග්‍රීඃ,ඒං
ජෳඃ,ඓඃ
ජ්‍යු,ඖඃ
ජ්‍රාඃ,කිඃ
ජ්‍රෛඃ,ක්‍රිඃ
ඣෟ,ඛෑඃ
ඣෳඃ,ඛිඃ
ඤෟඃ,ඛ්‍රි
ඤෲං,ඛ්‍රිං
ඤ්‍යුං,ඛ්‍රිඃ
ඥ්‍රඃ,ඛ්‍රෙං
ඦෲඃ,ගූ
ඦ්‍රෑං,ගීං
ඦ්‍රෙ,ග්‍රඃ
ඩ්‍යා,ග්‍රාඃ
ඩ්‍යුඃ,ග්‍රැං
ඪිඃ,ග්‍රෞං
ඪූං,ග්‍රෞඃ
ඪ්‍රීඃ,ඝි
ඪ්‍රො,ඝෘ
ඬෛ,ඝ්‍රි
ඬ්‍රේඃ,ඝ්‍රිං
තොඃ,ඝ්‍රීං
ත්‍යුං,ඝ්‍යො
ථෲඃ,ඞ්
න්‍රෑං,ඟී
න්‍රෛ,චි
න්‍රෞ,චී
ඳො,චෘ
ඳ්‍රේං,චො
පීං,චෞ
පෳං,චීං
ප්‍රේං,චීඃ
ඵො,චේඃ
ඵ්‍යාං,චෛං
බේඃ,ච්‍රි
භිං,ච්‍රෙ
මැඃ,ච්‍රෞ
ඹෙඃ,ච්‍රං
ඹෛං,ච්‍රැං
ඹෛඃ,ච්‍රිඃ
ර්‍ල,ච්‍රීඃ
ර්‍ලං,ච්‍රෛං
ර්‍ස,ච්‍රොං
ර්‍හ,ච්‍රොඃ
ලීං,ඡි
ල්‍යං,ඡිං
ල්‍ර,ඡිඃ
ල්‍රී,ඡෘඃ
ල්‍රෙං,ඡෙඃ
වෘඃ,ඡ්‍රිං
ව්‍රිං,ඡ්‍රිඃ
ව්‍රීඃ,ජි
ශුඃ,ජේ
ශ්‍රැං,ජාඃ
ෂ්‍යේං,ජැඃ
ෂ්‍රො,ජිං
සූං,ජූඃ
සෲ,ජ්‍රෙ
ස්‍යුං,ජ්‍රෝ
ස්‍රෞං,ජ්‍රිඃ
ෆෲ,ජ්‍රෙං
ෆ්‍යු,ජ්‍රෙඃ
හී,ජ්‍යු
හ්‍යුං,ඣි
හ්‍රං,ඣ්‍රෙ
හ්‍රෑං,ඤී
හ්‍රෞඃ,ඤඃ
,ඤිං
ඍ,ඦි
එං,ඦිඃ
එඃ,ඦීං
ඓං,ඦීඃ
ඖඃ,ඦ්‍රිං
ක්‍යුඃ,ඦ්‍රිඃ
ඛ,ඦ්‍යාං
ඛි,ට්
ඛිං,ටි
ඛිඃ,ටිං
ඛුං,ටුඃ
ඛුඃ,ටූඃ
ඛූං,ටෘං
ඛේ,ටෘඃ
ඛ්‍යු,ටෟං
ඛ්‍යුං,ටෟඃ
ඛ්‍ර,ටෙඃ
ඛ්‍රාඃ,ටොඃ
ඛ්‍රැ,ටෞඃ
ඛ්‍රෑං,ට්‍රේ
ඛ්‍රෑඃ,ට්‍රෝ
ඛ්‍රිඃ,ට්‍රඃ
ඛ්‍රී,ට්‍රැං
ඛ්‍රීඃ,ට්‍රෑඃ
ඛ්‍රේං,ට්‍රිඃ
ග්‍යුං,ට්‍රොඃ
ග්‍යුඃ,ට්‍යේ
ග්‍රැඃ,ට්‍යෙඃ
ග්‍රෑං,ඨිඃ
ග්‍රෑඃ,ඨ්‍රි
ග්‍රි,ඨ්‍රෙඃ
ග්‍රිං,ඨ්‍යෝඃ
ග්‍රිඃ,ඩිං
ග්‍රී,ඩිඃ
ග්‍රීං,ඩීං
ඝී,ඩීඃ
ඝුං,ඩ්‍රේං
ඝ්‍රීං,ඪ්
ඝ්‍රේ,ඪි
ඝ්‍රේඃ,ඪෙ
ඟුං,ඪං
ඟුඃ,ඪෑඃ
ඟ්‍යු,ඪිං
ඟ්‍යුං,ඪිඃ
ඟ්‍යුඃ,ඪීං
ඟ්‍රිං,ඪෟං
ඟ්‍රී,ඪ්‍රී
චීඃ,ඪ්‍රඃ
චුං,ඪ්‍රිඃ
චුඃ,ඪ්‍රෛං
චූ,ඪ්‍රෛඃ
චෙ,ඪ්‍යො
චෙං,ඪ්‍යෝ
චෞං,ඪ්‍යෝඃ
ච්‍යු,ඬි
ච්‍යුං,ඬිඃ
ච්‍යුඃ,ඬීං
